asn,org,country,vpn_signals,tor_signals,public_feed_overlap,confidence,sources
51395,Datasource AG,CH,0,5,1,low,tor-radar-network
58212,dataforest GmbH,DE,0,5,1,low,tor-radar-network
62000,SERVERD SAS,FR,0,5,1,low,tor-radar-network
153003,LACHANSO-VN Digital Shield Technology Company Limited,VN,4,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
197227,"Poznanska Spoldzielnia Mieszkaniowa ""Winogrady"" w Poznaniu",PL,0,5,1,low,tor-radar-network
200052,Feral.io Ltd,NL,0,5,1,low,tor-radar-network
206991,IXIR,TR,5,0,1,low,asn-vpn-multi-provider
209605,UAB Host Baltic,LT,0,2,3,medium,"bad-cidrs-v4,spamhaus-asndrop,tor-radar-network"
213900,RS Computers L.L.C,MK,0,5,1,low,tor-radar-network
214354,SiteHUB Agency Ltd,NG,0,5,1,low,tor-radar-network
214481,Wojciech Czapkowicz,NL,0,5,1,low,tor-radar-network
216063,24fire GmbH,DE,0,5,1,low,tor-radar-network
394380,"Leaseweb USA, Inc.",US,0,5,1,low,tor-radar-network
559,SWITCH,CH,0,4,1,low,tor-radar-network
2119,Telenor Norge AS,NO,0,4,1,low,tor-radar-network
2860,"NOS COMUNICACOES, S.A.",PT,0,4,1,low,tor-radar-network
3243,MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,PT,0,4,1,low,tor-radar-network
3292,TDC Holding A/S,DK,0,4,1,low,tor-radar-network
6192,"University of California, Davis",US,0,4,1,low,tor-radar-network
6461,ZAYO-6461,US,4,0,1,low,asn-vpn-multi-provider
8412,T-Mobile Austria GmbH,AT,0,4,1,low,tor-radar-network
8767,M-net Telekommunikations GmbH,DE,0,4,1,low,tor-radar-network
8866,Vivacom Bulgaria EAD,BG,0,4,1,low,tor-radar-network
9031,EDPNET Belgium BV,BE,0,4,1,low,tor-radar-network
9370,SAKURA internet // EAST JAPAN BACKBONE,JP,0,4,1,low,tor-radar-network
10242,US Internet Corp,US,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
11232,Midcontinent Communications,US,0,4,1,low,tor-radar-network
11427,Charter Communications Inc,US,0,4,1,low,tor-radar-network
12353,Vodafone Portugal - Communicacoes Pessoais S.A.,PT,0,3,2,low,"bad-cidrs-v4,tor-radar-network"
20454,SSASN2,US,3,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
21336,INFORENT GmbH,DE,0,4,1,low,tor-radar-network
22295,Advin Services LLC,US,0,3,2,low,"bad-cidrs-v4,tor-radar-network"
22439,PERFECT-INTERNATIONAL,US,3,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
22612,"Namecheap, Inc.",US,0,3,2,low,"bad-cidrs-v4,tor-radar-network"
26042,"FiberState, LLC",US,0,4,1,low,tor-radar-network
26286,MysticDev LLC,US,0,4,1,low,tor-radar-network
27411,"Leaseweb USA, Inc.",US,0,4,1,low,tor-radar-network
29518,Bredband2 AB,SE,0,3,2,low,"bad-cidrs-v4,tor-radar-network"
32244,"Liquid Web, L.L.C",US,0,2,2,low,"bad-cidrs-v4,tor-radar-network"
33705,Digital Shape Technologies Inc.,CA,0,4,1,low,tor-radar-network
34222,ZONER a.s.,CZ,0,4,1,low,tor-radar-network
35100,Patrik Lagerman,SE,0,4,1,low,tor-radar-network
40244,Turnkey Internet Inc.,US,0,4,1,low,tor-radar-network
44592,SkyLink Data Center BV,NL,0,4,1,low,tor-radar-network
46375,Sonic Telecom LLC,US,0,4,1,low,tor-radar-network
47172,Greenhost BV,NL,0,4,1,low,tor-radar-network
48031,XSERVERCLOUD,UA,4,0,1,low,asn-vpn-multi-provider
49770,Internetport Sweden AB,SE,0,4,1,low,tor-radar-network
53055,DIMENOC SERVICOS DE INFORMATICA LTDA,BR,4,0,1,low,asn-vpn-multi-provider
53363,TANGRAM-CANADA-INC,CA,4,0,1,low,asn-vpn-multi-provider
58061,Scalaxy B.V.,NL,0,4,1,low,tor-radar-network
62068,SpectraIP B.V.,NL,0,3,2,low,"bad-cidrs-v4,tor-radar-network"
132203,Shenzhen Tencent Computer Systems Company Limited,US,0,4,1,low,tor-radar-network
134094,"SERVERFIELD-AS Serverfield Co., Ltd.",TW,4,0,1,low,asn-vpn-multi-provider
